COMMON NAME,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Loggerhead Shrike,5,2,1,8,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,,0,0
Blue Jay,62,251,115,316,138,137,145,269,71,100,94,131,133,152,241,112,178,154,128,156,94,227,177,198,142,166,154,127,398,82,59,132,125,113,107,160,77,132,124,75,105,90,122,,124,125
American Crow,43,132,148,148,141,170,133,207,136,187,155,200,188,266,247,235,305,276,272,210,312,286,286,311,369,442,366,258,256,265,234,239,345,263,261,358,326,264,319,274,359,226,263,,282,286
Fish Crow,0,0,0,0,0,0,7,8,4,3,4,2,5,2,5,7,12,18,10,15,13,20,22,14,31,16,40,28,34,18,23,33,31,57,58,57,48,56,64,36,59,60,130,,104,100
Common Raven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0
Carolina Chickadee,34,91,99,93,109,125,148,128,67,145,138,127,170,177,171,189,135,159,178,141,148,199,228,283,252,310,260,177,172,183,133,175,145,144,133,250,124,161,173,138,166,136,136,,250,206
Tufted Titmouse,55,55,88,105,91,103,105,135,50,89,54,131,114,163,164,135,167,157,226,169,162,280,295,357,304,352,379,237,209,183,163,274,272,238,297,361,222,297,326,243,377,257,281,,337,370
Horned Lark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
N. Rough-winged Swallow,16,37,90,15,50,55,28,43,5,14,20,34,14,60,25,103,18,16,31,25,42,21,19,27,26,53,21,35,23,42,71,78,37,38,55,155,187,68,62,79,103,88,138,,102,51
Purple Martin,0,118,153,217,196,161,225,102,55,29,164,161,57,130,59,97,154,53,176,85,116,49,47,38,40,54,50,9,28,27,50,26,39,128,37,71,183,34,41,22,8,34,33,,2,10
Tree Swallow,10,90,34,34,70,37,28,36,51,27,8,6,57,10,44,32,33,16,42,12,31,25,34,3,25,31,26,34,13,31,69,18,70,15,38,14,78,11,15,104,26,15,36,,32,29
Bank Swallow,2,0,11,1,51,3,14,40,13,15,1,0,23,17,0,72,0,9,32,0,2,0,1,0,1,33,1,2,0,0,11,1,2,0,0,3,0,0,2,3,0,0,0,,0,0
Barn Swallow,78,235,332,178,349,263,364,354,269,319,154,264,376,382,292,333,224,153,181,157,190,126,240,178,178,305,203,171,174,164,236,100,82,79,140,216,542,88,88,109,94,73,93,,82,52
Cliff Swallow,0,0,3,1,2,0,3,14,10,47,9,81,49,148,49,50,100,106,135,86,47,35,126,206,191,184,288,214,367,192,230,173,142,172,111,173,352,109,272,184,168,165,112,,67,244
Ruby-crowned Kinglet,0,4,6,5,3,0,2,0,3,0,4,2,4,0,5,14,0,4,5,0,0,7,4,0,0,6,2,1,2,3,1,2,0,0,1,0,1,5,3,2,1,0,0,,1,5
Golden-crowned Kinglet,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Red-breasted Nuthatch,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,0
White-breasted Nuthatch,0,3,1,2,1,2,1,0,1,1,2,3,4,6,8,2,7,8,9,10,8,8,12,11,12,22,27,16,19,8,3,18,23,13,12,21,28,22,16,13,19,12,19,,16,37
Brown-headed Nuthatch,7,2,0,11,5,10,24,5,7,10,3,6,13,24,35,36,34,43,60,29,28,32,63,56,86,93,81,64,56,35,34,69,59,70,64,114,64,88,94,68,58,63,81,,91,139
Brown Creeper,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Blue-gray Gnatcatcher,54,109,214,267,147,231,227,188,150,163,135,165,143,198,192,186,169,229,187,225,160,242,279,394,235,257,300,226,222,129,145,243,335,149,132,197,127,202,214,173,178,198,209,,191,235
House Wren,1,1,3,8,15,1,2,7,5,5,3,1,1,2,5,5,1,3,4,2,3,6,5,3,2,9,2,5,8,10,5,4,7,3,3,0,3,0,5,0,3,2,2,,1,7
Sedge Wren,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Marsh Wren,1,0,0,7,5,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Carolina Wren,35,64,66,76,74,149,117,113,101,143,116,145,142,213,168,173,205,184,218,143,118,193,284,208,212,290,251,229,233,228,185,205,229,273,200,285,216,205,183,149,268,210,238,,302,346
Bewick's Wren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
European Starling,79,129,173,95,131,186,165,217,71,123,96,132,141,275,214,232,225,99,157,179,123,122,147,200,116,144,129,99,122,109,55,65,87,122,122,125,137,33,50,52,33,62,84,,39,56
Gray Catbird,21,27,21,84,31,17,34,24,27,30,32,37,42,28,13,74,18,13,51,33,11,43,22,23,16,62,19,64,48,28,37,22,40,29,22,17,25,66,126,58,28,24,29,,65,96
Brown Thrasher,14,26,13,16,22,43,26,25,20,27,12,21,24,27,25,42,42,26,58,60,19,42,60,64,71,97,88,34,41,71,28,50,56,49,36,66,35,35,31,24,24,43,51,,36,51
Northern Mockingbird,26,39,40,49,77,107,79,72,61,71,53,64,98,107,48,80,87,82,103,84,48,73,108,111,105,139,157,109,96,75,75,107,142,134,169,210,103,104,116,79,125,89,141,,106,88
Eastern Bluebird,41,37,81,38,70,123,87,85,74,127,76,135,161,169,162,196,180,192,220,128,103,108,202,173,201,259,181,155,164,121,155,160,185,179,166,236,165,144,131,130,134,117,181,,172,165
Veery,1,0,0,3,2,0,4,5,0,1,0,2,3,5,0,1,0,0,3,0,1,4,2,0,0,0,0,1,1,2,2,0,4,1,1,0,1,1,2,0,0,0,0,,3,1
Gray-cheeked Thrush,0,0,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0
Swainson's Thrush,1,1,0,8,3,3,3,31,6,9,0,5,4,11,1,16,4,0,2,5,7,6,8,3,4,2,1,0,4,5,4,3,14,3,2,1,0,6,3,2,3,4,2,,4,5
Hermit Thrush,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Wood Thrush,30,64,73,82,89,134,77,175,70,79,41,66,48,51,68,81,85,90,91,92,36,127,103,131,84,72,102,74,74,51,37,61,66,43,19,49,26,51,41,37,27,33,28,,37,37
American Robin,32,100,68,45,57,118,132,141,62,92,72,92,153,154,136,134,155,130,125,118,65,93,92,93,81,104,119,70,57,78,56,68,72,60,61,153,66,56,62,50,59,39,78,,33,61
Cedar Waxwing,0,6,20,6,0,92,5,39,132,16,8,85,36,52,0,33,146,32,40,36,144,57,209,32,118,116,42,73,87,176,57,10,94,35,366,409,35,48,15,132,75,84,2,,49,56
House Sparrow,44,79,126,122,159,140,144,107,38,125,54,44,52,64,57,50,69,51,20,31,29,26,38,62,24,42,25,23,20,24,25,29,43,31,24,22,9,8,7,26,8,10,7,,21,14
American Pipit,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0
Evening Grosbeak,0,3,0,2,0,0,0,2,0,0,0,2,0,0,14,0,0,8,0,7,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
House Finch,0,0,0,0,0,0,0,0,0,1,1,1,6,6,13,45,56,55,87,60,25,55,58,60,62,117,79,27,41,45,43,37,54,45,96,76,65,26,61,23,49,52,72,,56,80
Purple Finch,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Pine Siskin,0,0,0,0,0,0,0,2,0,0,6,1,0,25,0,0,0,17,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,33,1,0,0,7,,1,0
American Goldfinch,46,363,128,88,114,263,160,327,85,395,80,189,255,174,241,221,184,161,295,217,127,338,274,298,228,390,379,206,222,195,148,262,241,123,151,195,210,190,134,203,170,184,144,,150,139
Bachman's Sparrow,0,0,0,0,0,0,0,0,7,4,1,10,0,0,3,2,1,6,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Grasshopper Sparrow,0,1,0,0,6,2,3,0,3,0,0,3,1,2,1,3,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
Chipping Sparrow,5,83,55,88,72,86,57,94,75,98,65,80,119,171,123,145,118,101,145,124,48,76,109,108,136,218,195,173,197,137,158,175,178,222,223,282,186,169,190,163,255,260,299,,305,327
Field Sparrow,27,57,57,71,80,113,73,82,47,54,70,25,47,75,53,42,66,49,65,55,60,62,28,31,17,36,25,29,15,19,11,12,20,16,16,40,12,20,37,21,20,9,18,,20,37
Dark-eyed Junco,0,6,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
White-crowned Sparrow,1,3,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,0,0
White-throated Sparrow,4,198,193,114,67,34,39,48,17,10,17,24,61,15,46,17,3,8,8,37,0,40,16,5,0,45,1,30,100,29,14,9,8,5,0,3,106,59,97,11,7,1,3,,49,40
Vesper Sparrow,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Savannah Sparrow,7,16,13,37,88,6,3,3,1,3,2,6,0,4,6,4,4,6,0,3,0,2,0,4,3,5,1,15,1,2,5,3,3,1,10,1,4,4,7,0,2,8,3,,1,12
Song Sparrow,0,30,0,8,4,0,3,3,4,0,4,4,2,0,1,4,1,2,2,7,1,3,6,1,3,6,1,9,15,15,2,1,4,4,4,2,4,4,3,6,1,4,6,,6,10
Swamp Sparrow,9,4,10,86,61,7,4,4,6,2,3,13,0,1,7,6,0,2,1,0,0,0,2,1,0,4,0,2,2,0,0,0,1,1,1,0,0,1,6,6,0,1,0,,0,4
Eastern Towhee,43,67,111,108,81,137,130,152,61,62,68,66,92,130,111,113,107,113,101,106,97,115,116,132,149,198,158,153,125,120,83,103,103,138,101,130,92,119,149,127,131,102,107,,121,169
Yellow-breasted Chat,75,53,58,93,130,164,122,133,64,71,97,83,87,121,70,78,76,63,67,68,51,82,72,98,65,75,91,47,37,30,32,60,53,46,50,49,32,39,65,36,60,71,91,,49,89
Bobolink,0,11,4,251,119,11,60,65,3,68,35,128,15,176,6,13,8,0,54,20,86,1,14,86,12,155,0,49,32,104,5,18,6,20,51,78,20,6,6,64,55,0,0,,0,1
Eastern Meadowlark,58,114,92,136,130,133,105,116,65,122,52,91,91,131,91,83,103,83,100,65,42,66,84,47,50,55,38,42,36,18,10,14,37,33,35,34,14,14,26,20,23,18,43,,19,30
Orchard Oriole,7,11,8,11,25,42,27,68,33,27,20,29,22,49,46,40,31,42,47,31,19,31,46,33,44,55,51,33,44,27,25,34,44,32,55,66,28,33,56,21,38,53,53,,42,38
Baltimore Oriole,3,5,0,2,2,4,2,4,2,3,2,4,9,13,2,5,1,1,3,6,4,8,4,5,0,0,1,0,6,1,2,1,1,2,3,1,0,0,3,1,1,0,1,,1,1
Red-winged Blackbird,57,149,119,274,229,233,250,160,116,143,83,148,120,110,370,200,156,154,97,101,67,57,87,79,88,131,99,199,137,74,36,49,62,32,98,73,39,54,41,109,36,30,111,,56,58
Brown-headed Cowbird,15,44,75,47,49,79,70,74,67,100,52,134,159,128,144,83,129,117,91,94,68,124,107,126,140,187,161,108,113,123,120,112,136,133,97,199,194,108,109,84,121,130,193,,159,118
Rusty Blackbird,1,0,0,0,3,0,0,0,7,7,0,3,71,0,0,0,15,6,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Common Grackle,119,484,302,257,245,363,316,395,258,287,419,316,358,386,934,421,418,275,282,335,210,227,314,245,327,367,307,331,231,235,141,220,317,158,260,240,315,121,145,172,98,95,142,,112,136
Ovenbird,11,59,82,98,81,107,95,131,53,85,23,74,71,90,104,101,75,125,120,147,50,132,134,168,139,234,160,144,152,78,77,169,145,107,67,155,120,150,159,118,130,156,97,,180,250
Worm-eating Warbler,0,0,1,0,0,0,0,1,0,0,1,1,0,1,2,5,0,0,1,3,1,2,6,0,1,1,3,1,5,2,1,2,0,0,0,1,2,3,2,2,0,0,0,,0,0
Louisiana Waterthrush,8,0,3,19,5,9,8,22,8,13,2,13,14,9,11,7,7,5,13,16,13,15,16,7,13,12,12,12,5,0,0,6,9,5,1,14,5,13,10,10,16,15,12,,6,9
Northern Waterthrush,9,2,3,1,2,1,9,6,2,5,0,8,1,1,2,2,1,2,2,4,3,0,1,1,1,4,1,3,2,1,4,0,1,1,2,3,2,5,3,8,0,1,2,,5,8
Golden-winged Warbler,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Blue-winged Warbler,0,3,6,4,2,3,0,0,1,0,3,2,1,3,0,1,0,0,5,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,,1,1
Black-and-white Warbler,10,23,45,56,37,49,35,40,41,22,14,27,42,33,24,44,11,10,44,17,16,54,18,22,14,58,22,60,52,17,15,28,40,33,15,31,50,55,68,82,38,31,21,,66,121
Prothonotary Warbler,28,10,28,45,13,28,29,15,14,34,8,31,20,14,23,19,26,20,32,24,7,17,27,19,13,21,38,23,32,25,4,40,48,31,32,54,31,28,29,20,38,29,24,,37,34
Swainson's Warbler,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0
Tennessee Warbler,4,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Orange-crowned Warbler,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Nashville Warbler,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Kentucky Warbler,2,3,12,18,9,30,5,17,11,6,0,5,4,3,8,3,6,3,2,2,2,2,5,8,1,3,4,1,1,2,1,4,3,1,3,0,1,1,0,3,3,2,0,,1,4
Common Yellowthroat,87,76,143,146,141,152,149,116,84,98,69,94,116,123,75,105,104,88,81,115,73,84,100,109,75,143,83,94,102,56,65,86,110,52,56,86,43,109,92,92,83,62,104,,102,138
Hooded Warbler,17,48,93,62,65,57,54,80,41,48,8,24,28,64,58,46,25,32,23,23,25,31,31,45,24,62,67,26,45,17,13,38,52,32,25,53,41,57,66,31,60,88,53,,50,65
American Redstart,42,25,24,96,22,51,54,82,38,48,17,56,69,61,28,89,55,49,79,57,36,55,60,44,27,40,22,36,35,32,42,15,42,18,21,57,41,63,27,26,41,33,39,,32,62
Cape May Warbler,0,3,3,4,0,3,0,1,2,0,0,5,2,7,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1,3
Cerulean Warbler,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Northern Parula,32,53,61,118,59,80,86,130,69,57,27,90,57,108,73,74,56,94,75,94,53,78,101,102,91,93,103,78,87,46,40,104,99,66,44,99,89,108,65,85,98,92,91,,174,177
Magnolia Warbler,0,0,0,1,0,1,3,2,0,3,0,0,6,5,3,5,0,0,3,2,4,3,21,2,8,4,5,0,1,2,0,2,0,0,3,1,1,6,7,0,2,1,1,,0,0
Bay-breasted Warbler,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,2,0,0,0,1,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0
Blackburnian Warbler,0,0,0,0,0,0,0,0,0,1,0,0,2,4,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,0,0
Yellow Warbler,2,6,5,17,9,6,6,11,9,12,3,25,15,5,1,29,4,2,24,11,5,10,14,10,7,7,3,11,26,13,5,10,7,4,21,8,6,4,13,10,1,4,2,,9,8
Chestnut-sided Warbler,0,0,0,0,2,0,0,0,1,4,0,4,3,14,1,6,2,2,2,3,2,6,3,0,1,3,2,1,0,9,1,3,2,0,3,2,1,3,1,0,0,1,0,,1,0
Blackpoll Warbler,3,2,0,10,3,20,30,8,8,12,3,8,4,3,2,2,6,3,5,0,30,5,31,6,2,16,24,2,19,9,16,6,1,1,18,4,0,1,0,4,1,0,1,,3,5
Black-thr Blue Warbler,1,8,6,22,14,4,6,26,13,8,3,6,29,37,11,45,7,36,61,37,35,72,26,17,10,57,13,38,64,22,40,30,45,21,22,43,25,108,29,48,25,22,13,,58,76
Palm Warbler,1,3,2,5,0,0,0,2,1,2,1,2,1,0,0,9,2,0,4,0,1,9,1,0,1,2,0,0,2,1,5,3,0,1,0,0,7,2,10,3,3,3,0,,2,1
Pine Warbler,13,41,104,43,48,88,117,115,62,81,69,131,141,185,155,227,168,121,237,130,146,203,281,311,311,335,207,163,206,172,161,209,218,175,137,248,126,146,210,164,250,130,194,,254,325
Yellow-rumped Warbler,0,300,254,104,73,72,302,167,78,43,49,86,303,145,451,340,33,39,206,152,84,278,38,25,7,253,15,137,240,228,131,76,56,33,23,11,106,126,79,128,17,15,14,,160,133
Yellow-throated Warbler,73,34,57,61,53,62,69,96,41,67,31,52,36,63,86,53,85,93,68,86,59,122,104,94,69,72,59,64,71,27,33,76,90,42,37,85,67,62,80,59,112,103,95,,153,105
Prairie Warbler,103,127,128,123,106,136,92,124,56,75,173,72,74,88,94,81,45,64,67,52,39,62,59,78,92,117,73,90,40,18,21,66,65,67,60,76,49,69,101,44,53,64,76,,83,141
Black-thr Green Warbler,0,0,2,0,0,0,0,0,0,0,0,1,4,4,0,8,0,2,3,0,0,3,3,0,1,6,0,1,2,2,0,1,3,0,4,2,1,4,0,1,1,0,0,,2,0
Canada Warbler,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Wilson's Warbler,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Summer Tanager,19,61,61,76,64,75,92,102,72,77,61,71,66,77,79,102,113,140,97,122,51,107,128,91,136,138,189,101,136,58,82,164,158,114,116,183,76,158,169,91,161,202,186,,229,196
Scarlet Tanager,7,21,34,51,43,36,34,60,58,45,23,49,38,120,41,51,44,49,61,74,41,120,77,72,81,74,80,40,79,28,36,49,47,46,32,52,29,48,34,28,38,34,26,,37,31
Western Tanager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Northern Cardinal,71,189,141,107,117,165,173,179,141,204,122,226,188,276,237,246,277,282,276,309,205,275,311,304,356,432,432,340,371,326,273,317,342,352,358,466,305,397,433,337,358,424,450,,406,469
Rose-breasted Grosbeak,1,1,5,4,4,3,5,12,10,8,2,12,19,13,3,14,6,4,8,5,12,17,8,8,3,18,5,3,3,9,8,3,5,0,2,6,0,5,5,1,1,1,0,,4,3
Blue Grosbeak,25,28,18,37,35,108,88,94,43,89,49,70,77,124,53,78,67,60,82,46,48,86,77,105,88,94,103,59,50,52,49,54,58,57,77,96,37,32,53,40,39,52,100,,70,71
Indigo Bunting,83,56,65,135,157,291,282,303,187,216,155,237,143,225,84,218,170,149,199,246,130,122,216,258,266,264,266,147,153,128,124,169,210,138,225,173,93,97,161,89,118,175,191,,166,195