"","Common.Yellowthroat","Great.Crested.Flycatcher","Downy.Woodpecker","Acadian.Flycatcher","Fish.Crow","Brown.Thrasher","Brown.headed.Nuthatch","Chimney.Swift","Common.Grackle","Yellow.billed.Cuckoo","Brown.headed.Cowbird","Barn.Swallow","Wood.Thrush","House.Finch","Eastern.Phoebe","Ovenbird","Chipping.Sparrow","Red.bellied.Woodpecker","count","Northern.Cardinal","Carolina.Wren","Blue.Grosbeak","Summer.Tanager","Carolina.Chickadee","Eastern.Bluebird","Northern.Mockingbird","Pine.Warbler","American.Crow","Yellow.breasted.Chat","American.Goldfinch","Mourning.Dove","Red.eyed.Vireo","Red.winged.Blackbird","American.Robin","Eastern.Towhee","European.Starling","Indigo.Bunting","Purple.Martin","White.eyed.Vireo","Blue.gray.Gnatcatcher","White.breasted.Nuthatch","Tufted.Titmouse","Blue.Jay","Eastern.Meadowlark","Eastern.Wood.Pewee"
"Common.Yellowthroat",1,0.0481368587542565,-0.0012990210686836,-0.00188984277787638,-0.00168073464082204,-0.00966118180116869,-0.00176390951080296,-0.000941897577336464,-0.000606504934372379,-0.00135353300197313,-0.00148679703144701,-0.00109135647068804,-0.000572125596221774,-0.0013973515044678,-0.00132694579899537,-0.00134731078157334,-0.00168441861468902,-0.00139569012025794,-0.0201707700559177,-0.00114669896023998,-0.00152991036621298,-0.00115733029419544,-0.00134904379803299,-0.00122073889514878,-0.000969553807904778,-0.00110559077500533,-0.0010264296186294,-0.000978702340870718,-0.00491882430115631,-0.000916903039001435,-0.000908295455490384,-0.000901636176744318,-0.00925679900153791,-0.000828111865949474,-0.000866775187960036,-0.000811313336439991,-0.00077166993016211,-0.0012285836759225,-0.0017401165785509,-0.00143565553447256,-0.00132334910045806,-0.00123771536484561,-0.00106637410928461,-9.27520067734663e-05,-0.00114660627123709
"Great.Crested.Flycatcher",0.0481368587542565,1,-0.00223833864616299,-0.00325638146052487,0.0173924048289293,-0.00894848589864651,-0.00303938628983562,-0.0016229804110999,-0.00104506652464839,-0.00233226796717277,-0.00256189474883632,-0.00188051250589541,-0.000985827607692225,-0.00240777147509516,-0.00609183939775826,-0.00232154648103106,-0.00290241580561536,-0.00240490874979179,-0.0314032364539844,-0.00197587295548714,-0.00263618318471935,-0.00199419176972844,-0.00232453263561271,-0.00210345090757812,-0.00167063476496714,-0.00190503958572692,-0.00176863727489244,-0.00168639857002546,-0.00162208184866826,-0.00157991240978169,-0.00156508071283129,-0.0015536061329864,-0.00149612729811036,-0.00142691665099715,-0.00149353728551309,-0.00139797116373277,-0.00132966174945412,-0.00310654039362258,-0.011740583918994,-0.00247377301481648,-0.010267946549815,-0.00213270300295512,-0.00183746548660525,-0.0734917747976302,-0.0210061070056826
"Downy.Woodpecker",-0.0012990210686836,-0.00223833864616299,1,0.00875746680855146,0.00564377625390381,-0.00157168181266117,0.0070153218572336,-0.00122681776264273,-0.00078997020963005,-0.00176297122861223,-0.00820828553020323,-0.00142148736320283,0.000973369364455004,-0.00182004464984862,-0.00172834150489604,-0.00175486681185489,-0.00219394839306216,-0.00181788070367414,-0.0229733976999774,-0.00149357073069929,-0.00199270202799424,-0.00150741799992567,-0.0482339544401933,-0.00159000744470807,-0.00126283989044662,-0.00144002748666797,-0.0013369204025326,-0.00127475581741654,-0.00122613853549721,-0.00119426247814431,-0.00118305113563871,-0.00117437745216333,0.00502985872488147,-0.00107861233646545,-0.00112897115609365,-0.00105673232011937,-0.00100509694472008,-0.00234824703317319,-0.00226649476440127,-0.00186993549310112,-0.0105643089398762,-0.00161211922742423,-0.00138894793910841,-0.00012080911148771,-0.0014934500036501
"Acadian.Flycatcher",-0.00188984277787638,-0.00325638146052487,0.00875746680855146,1,0.166446682403149,-0.00228651528014651,-0.00334242874664067,-0.00178479991155974,-0.00114926503610881,-0.00256480708767323,-0.00281732884135655,-0.00846408117193568,0.000701055730791446,-0.00264783868395176,-0.00251442704777802,-0.00255301661417958,-0.0031918016001569,-0.00264469053020116,-0.0485824543066826,-0.00217287765895888,-0.00289902421665945,-0.00219302295326671,-0.00255630050374292,-0.0023131757895164,-0.00183720564978427,-0.00209498183765449,-0.0019449795143677,-0.00185454118734328,-0.00321150618277922,-0.00173743780883938,-0.00172112731536437,-0.0017085086608492,-0.00164529889029279,-0.00156918758543566,-0.00164245064010888,-0.00153735608410861,-0.00146223586963812,-0.00341627846021704,-0.0108531878646342,-0.00272042091689309,0.00220713611823511,-0.00234534446936296,-0.00202067025304698,-0.000175755599620911,-0.00217270202274522
"Fish.Crow",-0.00168073464082204,0.0173924048289293,0.00564377625390381,0.166446682403149,1,-0.00203351595333735,-0.00297259425213729,-0.00158731460278702,-0.00102210066376226,-0.00228101520917131,-0.00250559582717053,-0.00183918730067015,-0.0009641635517092,-0.00235485948964898,0.0160459354837952,-0.00227052933306339,-0.00283863376298606,-0.00235205967416941,-0.0262291539497166,-0.00193245215656746,-0.00257825173742599,-0.0019503684056806,-0.00227344986540086,-0.00205722651919243,-0.00163392172833371,-0.00186317538562442,-0.00172977058396398,-0.00164933911587182,-0.00158643578671545,-0.00154519304239261,-0.00153068727941944,-0.0015194648592201,0.00440702931908972,-0.00139555944212102,-0.00146071605478914,-0.00136725004645281,-0.00130044176580398,-0.00303827261082184,-0.00293249767506192,-0.00241941061244103,-0.00130120690206814,-0.00208583578510622,-0.00179708626121321,-0.000156308518390767,-0.00193229595422514
"Brown.Thrasher",-0.00966118180116869,-0.00894848589864651,-0.00157168181266117,-0.00228651528014651,-0.00203351595333735,1,0.053467023346495,-0.00113959913921131,-0.000733808556013868,-0.00163763564219435,-0.00179887140384248,-0.00132042901956058,-0.000692213094781298,-0.00169065152091197,-0.00160546786264331,-0.0016301073958307,-0.00203797318260388,-0.00168864141698874,-0.0224268470609337,-0.00138738773669996,-0.00185103410217606,-0.00140025055673035,-0.00163220416740449,-0.00147696843859323,-0.00117306033213491,-0.00133765106295206,-0.00124187421010137,-0.00118412911556091,-0.00113896820062053,-0.00110935831997898,-0.00109894402972504,-0.00109088698773945,-0.00998290819130516,-0.00100193013796198,-0.00104870877880617,-0.000981605645968735,-0.000933641204020081,-0.0380212505747808,-0.00210536198707694,-0.00173699545540343,-0.00160111622754443,-0.00149750821990154,-0.00129020293316228,-0.0175027419176472,-0.00138727559254499
"Brown.headed.Nuthatch",-0.00176390951080296,-0.00303938628983562,0.0070153218572336,-0.00334242874664067,-0.00297259425213729,0.053467023346495,1,-0.00166586637562427,-0.00107268157507982,0.00208558557413467,-0.00262959077681198,-0.00193020355087915,-0.00101187731693182,-0.0024713949183345,-0.00234687342022178,-0.00238289149748744,-0.00297910983126312,-0.00246845654779527,-0.040001835964134,-0.00202808382438875,-0.00270584222543653,-0.00204688669870398,-0.00238595655882523,-0.00215903292223726,-0.00171477995783199,-0.00195537873925733,-0.00181537210601483,-0.00173096030888172,-0.00166494406939625,-0.00162166033667863,-0.00160643672395095,-0.00159465893747406,0.0064649721282107,-0.00146462178684205,-0.00153300281855622,-0.00143491143813416,-0.00136479700199736,-0.00318862824890639,-0.00307761880657098,-0.00253914049616728,-0.0138213195664946,-0.00218905798093296,-0.00188601904839486,-0.0382170160077071,-0.00202791989202819
"Chimney.Swift",-0.000941897577336464,-0.0016229804110999,-0.00122681776264273,-0.00178479991155974,-0.00158731460278702,-0.00113959913921131,-0.00166586637562427,1,0.0141055705535216,0.00531805614774248,-0.00140415660037929,-0.00103069575689947,-0.00454143686500598,-0.00131968271159291,-0.00125319035658247,-0.00127242339518731,-0.00159079381085067,-0.00131811367186876,0.00705358299996656,-0.00108296215260925,-0.00144487357269984,-0.00109300256661911,-0.0012740600856359,-0.00115288673619059,-0.000915663234454594,-0.00104413887787438,-0.00096937772496119,-0.000924303265794533,-0.0008890517204883,-0.000865938945861673,-0.000857809796458857,-0.000851520659470262,-0.000820016911937316,-0.000782083040140096,-0.000818597344140835,-0.000766218220942516,-0.000728778308560835,-0.00170267307040284,-0.00164339592259174,-0.00135585769406512,-0.00124979357283599,-0.00116891960515097,-0.00100710198658936,-8.75965849774518e-05,-0.0010828746155262
"Common.Grackle",-0.000606504934372379,-0.00104506652464839,-0.00078997020963005,-0.00114926503610881,-0.00102210066376226,-0.000733808556013868,-0.00107268157507982,0.0141055705535216,1,0.0849142551658412,-0.000904161903855608,-0.000663683692831997,-0.000347925209280872,-0.000849767634661895,-0.000806952001219193,-0.000819336503629508,-0.00102434098894103,-0.000848757301523996,0.0212633152703285,-0.000697338973047814,-0.000930380300865503,-0.000703804177743797,-0.000820390398295974,-0.000742364680721852,-0.000589612165146993,-0.000672339962261763,-0.000624199899868318,-0.000595175638041439,-0.000572476528619193,-0.000557593793813057,-0.000552359287064417,-0.000548309597683832,-0.000528023763226141,-0.000503597455123788,-0.000527109677773576,-0.000493381810283235,-0.000469273571608113,-0.0010963820734549,-0.00105821244279863,-0.000873061362024793,-0.000804764750553255,-0.000752688535852795,-0.000648491236180822,-5.64050299112442e-05,-0.000697282606332301
"Yellow.billed.Cuckoo",-0.00135353300197313,-0.00233226796717277,-0.00176297122861223,-0.00256480708767323,-0.00228101520917131,-0.00163763564219435,0.00208558557413467,0.00531805614774248,0.0849142551658412,1,-0.00201781206819336,-0.00148113845446135,-0.000776462360470953,-0.00189642074175988,-0.00180086937922213,-0.001828507790347,-0.00228601492787556,-0.0018941659880594,-0.0255338400401903,-0.00155624671802377,-0.002076323489289,-0.00157067507206438,-0.00183085976001912,-0.00165673028842871,-0.00131583352197637,-0.00150045659300094,-0.00139302273801672,-0.0013282494871919,-0.00127759203664667,-0.00124437833700784,-0.00123269652333774,-0.00122365885865653,-0.00117838709769475,-0.00112387506941729,-0.00117634713930931,-0.0011010768832122,-0.00104727468834638,-0.00199315231193806,-0.00236160562470723,-0.00194840519718278,-0.00179598810655295,-0.00167976996681453,-0.0014472335506543,0.00284158802266375,-0.00155612092480205
"Brown.headed.Cowbird",-0.00148679703144701,-0.00256189474883632,-0.00820828553020323,-0.00281732884135655,-0.00250559582717053,-0.00179887140384248,-0.00262959077681198,-0.00140415660037929,-0.000904161903855608,-0.00201781206819336,1,0.00403282645871611,-0.000852910073781487,-0.00208313556087145,-0.00197817655214041,-0.00200853614260072,-0.0025110878003376,-0.00208065881216736,-0.0209785664563375,-0.00170946921662346,-0.00228075089096343,-0.00172531813491724,-0.00201111967881402,-0.00181984604080847,-0.00144538579517537,-0.00164818619497048,-0.00153017478598776,-0.00145902419202127,-0.00140337918965972,-0.00136689538767307,-0.00135406342431393,-0.00134413594341796,-0.00129440688641802,-0.00123452779835532,-0.0012921660810093,-0.00120948498408868,-0.0011503856171022,-0.000652063454750472,-0.00259412088744412,-0.00214023822027579,-0.00197281468678235,-0.00184515412371414,-0.00158972300179368,-0.000138272298011081,-0.00170933103825005
"Barn.Swallow",-0.00109135647068804,-0.00188051250589541,-0.00142148736320283,-0.00846408117193568,-0.00183918730067015,-0.00132042901956058,-0.00193020355087915,-0.00103069575689947,-0.000663683692831997,-0.00148113845446135,0.00403282645871611,1,0.0717266282648616,-0.00152908798281956,-0.00145204472075155,0.0144416784173666,-0.00184321858424544,-0.00152726997022786,-0.0052385519876571,-0.00125480496096244,-0.00167414394179813,-0.00126643857279226,-0.00697345276149136,-0.00133582507247768,-0.00106095930166741,-0.00120982126728425,-0.00112319712687755,-0.00107097032020787,-0.00103012511262109,-0.00100334483761964,-0.000993925766995115,-0.000986638679192012,-0.000950135964302098,-0.000906182802684314,-0.000948491141619106,-0.000887800577796698,-0.000844419756332902,-0.002964333587307,-0.0019041675200977,-0.00157100315719521,-0.00144810894046034,-0.001354402013012,-0.00116690741769946,-0.000101496279559035,-0.00125470353362659
"Wood.Thrush",-0.000572125596221774,-0.000985827607692225,0.000973369364455004,0.000701055730791446,-0.0009641635517092,-0.000692213094781298,-0.00101187731693182,-0.00454143686500598,-0.000347925209280872,-0.000776462360470953,-0.000852910073781487,0.0717266282648616,1,0.00437346825388592,-0.000761210451317426,-0.000772892946255035,-0.000966276885510753,-0.000800646045335943,0.0101134017471687,-0.00065781076643094,-0.000877642297991282,-0.000663909495199238,-0.000853445561564066,-0.000700284221119232,-0.00055619038264446,-0.000634228808329119,-0.000588817534095205,-0.000561438493692492,-0.00054002606853998,-0.000525986951886791,-0.000521049159752295,-0.000517229024383117,-0.000498093079271681,-0.000475051360574027,-0.000497230808159096,-0.000465414782923992,-0.000442673104094749,-0.00103423436795497,-0.000998228358013187,-0.000823572445957925,-0.000759147183534419,-0.000710022875229654,-0.00061173193179125,-5.32077474378235e-05,0.00158274287243468
"House.Finch",-0.0013973515044678,-0.00240777147509516,-0.00182004464984862,-0.00264783868395176,-0.00235485948964898,-0.00169065152091197,-0.0024713949183345,-0.00131968271159291,-0.000849767634661895,-0.00189642074175988,-0.00208313556087145,-0.00152908798281956,0.00437346825388592,1,-0.00185916969348927,-0.00188770285471264,-0.00236002106638406,-0.00195548663332784,-0.00815634449334247,-0.00160662775830621,-0.00214354119721525,-0.0016215232076202,-0.00189013096570439,-0.00171036432629162,-0.00135843156308894,-0.0015490315157163,-0.00143811965861778,-0.00137124947565411,-0.00131895206980683,-0.00128466312887099,-0.00127260313485314,-0.0012632728899897,-0.00121653552695708,-0.00116025875748487,-0.00121442952812681,-0.00113672251585178,-0.00108117855953165,-0.00252599946511398,-0.00243805889315861,-0.00201148175155492,-0.00185413039729328,-0.00173414987803502,-0.00149408546106749,-0.00951915420927926,-0.00160649789272678
"Eastern.Phoebe",-0.00132694579899537,-0.00609183939775826,-0.00172834150489604,-0.00251442704777802,0.0160459354837952,-0.00160546786264331,-0.00234687342022178,-0.00125319035658247,-0.000806952001219193,-0.00180086937922213,-0.00197817655214041,-0.00145204472075155,-0.000761210451317426,-0.00185916969348927,1,0.00830336201839614,-0.00224111115175107,-0.00185695922950635,-0.025754259810443,-0.00152567764633123,-0.00203553864401611,-0.00153982258683349,-0.00179489651420804,-0.00162418743620893,-0.00128998684303862,-0.00147098339660364,-0.0013656598453246,-0.00130215892370394,-0.0012524965282612,-0.00121993523929327,-0.00120848288936786,-0.0011996227498929,-0.00115524025391107,-0.00110179899550655,-0.0011532403660578,-0.00107944862993332,-0.00102670326181154,-0.00239872671105347,-0.00231521703425105,-0.00191013302769397,-0.00872066162642733,-0.00164677455037588,-0.00141880580481338,-0.000123406114676362,0.00907628203236458
"Ovenbird",-0.00134731078157334,-0.00232154648103106,-0.00175486681185489,-0.00255301661417958,-0.00227052933306339,-0.0016301073958307,-0.00238289149748744,-0.00127242339518731,-0.000819336503629508,-0.001828507790347,-0.00200853614260072,0.0144416784173666,-0.000772892946255035,-0.00188770285471264,0.00830336201839614,1,-0.00227550606795288,-0.00188545846616355,-0.020589542656902,-0.00154909261829967,-0.00206677858543166,-0.00156345464488564,-0.00182244325821881,-0.00164911426356446,-0.0013097846068992,-0.0014935589616847,-0.00138661898244876,-0.00132214349565487,-0.00127171891850222,-0.00123865790295685,-0.00122702979083619,-0.00121803367249441,-0.0449220620176746,-0.00111870859148621,-0.00117093944614134,-0.00109601520903474,-0.00104246034401899,-0.00243554059427078,-0.00235074927272108,-0.0019394483364729,-0.00178773191049566,-0.00167204802805191,-0.00144058058681153,-0.00012530006044062,-0.00154896740335212
"Chipping.Sparrow",-0.00168441861468902,-0.00290241580561536,-0.00219394839306216,-0.0031918016001569,-0.00283863376298606,-0.00203797318260388,-0.00297910983126312,-0.00159079381085067,-0.00102434098894103,-0.00228601492787556,-0.0025110878003376,-0.00184321858424544,-0.000966276885510753,-0.00236002106638406,-0.00224111115175107,-0.00227550606795288,1,-0.00235721511403633,0.0445356161808541,-0.00193668786580496,-0.00258390296385524,-0.00195464338524174,-0.00227843300175591,-0.00206173571924766,-0.00163750309376853,-0.00186725924827791,-0.00173356203888627,-0.00165295427441784,-0.001589913068517,-0.0015485799249195,-0.00153404236700959,-0.00152279534857698,-0.00146645642165567,-0.00139861834528729,-0.00146391777363405,-0.001370246898733,-0.00130329218214237,-0.00304493214923258,-0.00293892536717776,-0.00242471367769171,-0.00223503659979324,-0.00209040769332798,-0.00180102526423126,-0.000156651128391736,-0.00193653132108533
"Red.bellied.Woodpecker",-0.00139569012025794,-0.00240490874979179,-0.00181788070367414,-0.00264469053020116,-0.00235205967416941,-0.00168864141698874,-0.00246845654779527,-0.00131811367186876,-0.000848757301523996,-0.0018941659880594,-0.00208065881216736,-0.00152726997022786,-0.000800646045335943,-0.00195548663332784,-0.00185695922950635,-0.00188545846616355,-0.00235721511403633,1,0.0135975415237596,-0.00160471755462433,-0.00214099262909413,-0.00161959529396037,-0.00188788369024728,-0.00170833078478418,-0.00135681645283081,-0.0015471897912164,-0.0014364098030195,-0.00136961912551002,-0.0013173838987809,-0.00128313572575841,-0.00127109007049756,-0.00126177091884972,-0.00121508912430984,-0.00115887926522911,-0.00121298562941157,-0.00113537100706333,-0.00107989308985481,-0.00252299617237625,-0.00243516015756139,-0.00200909019580839,-0.00185192592479284,-0.00173208805664246,-0.00149230906480261,-0.000129799344602931,-0.00160458784344883
"count",-0.0201707700559177,-0.0314032364539844,-0.0229733976999774,-0.0485824543066826,-0.0262291539497166,-0.0224268470609337,-0.040001835964134,0.00705358299996656,0.0212633152703285,-0.0255338400401903,-0.0209785664563375,-0.0052385519876571,0.0101134017471687,-0.00815634449334247,-0.025754259810443,-0.020589542656902,0.0445356161808541,0.0135975415237596,1,0.112559043159616,0.086013589419915,-0.0124179911635072,-0.0192700396617907,0.0183537588153605,0.0181775823897071,0.0228996384445942,0.0123116450147129,0.107084358370125,-0.0147796223742481,0.0150363599520845,0.0663263545790277,0.0239354669517564,-0.0149669353782329,0.00793062996863994,0.00865396576848371,0.0314293559520335,0.0264028868920405,-0.0423626489487097,-0.045440975691939,0.0183935875640187,-0.0287756766253901,0.0650030001793178,-0.00756219831521894,0.00818355141710969,-0.00977943667337726
"Northern.Cardinal",-0.00114669896023998,-0.00197587295548714,-0.00149357073069929,-0.00217287765895888,-0.00193245215656746,-0.00138738773669996,-0.00202808382438875,-0.00108296215260925,-0.000697338973047814,-0.00155624671802377,-0.00170946921662346,-0.00125480496096244,-0.00065781076643094,-0.00160662775830621,-0.00152567764633123,-0.00154909261829967,-0.00193668786580496,-0.00160471755462433,0.112559043159616,1,-0.00175903947877048,-0.00133065944412551,-0.00155108518233294,-0.00140356452068019,-0.00111476035626736,-0.00127117108527922,-0.00118015425035506,-0.00112527903175021,-0.00108236257106252,-0.00105422427315174,-0.00104432756315675,-0.00103667094844706,-0.000998317187476724,-0.000952135168970233,-0.000996588956132459,-0.000932820784778142,-0.000887240129691529,-0.00207289357828122,-0.00200072751118808,-0.00165066844360555,-0.00152154228333216,-0.00142308349451445,-0.00122608108213134,-0.000106643137567317,-0.00131832932324289
"Carolina.Wren",-0.00152991036621298,-0.00263618318471935,-0.00199270202799424,-0.00289902421665945,-0.00257825173742599,-0.00185103410217606,-0.00270584222543653,-0.00144487357269984,-0.000930380300865503,-0.002076323489289,-0.00228075089096343,-0.00167414394179813,-0.000877642297991282,-0.00214354119721525,-0.00203553864401611,-0.00206677858543166,-0.00258390296385524,-0.00214099262909413,0.086013589419915,-0.00175903947877048,1,-0.00177534797540992,-0.00206943703762832,-0.00187261695030051,-0.00148729830934863,-0.00169597940525891,-0.00157454596537753,-0.00150133218503693,-0.00144407361904553,-0.00140653187953587,-0.00139332782185577,-0.00138311246924743,-0.00133194139599605,-0.00127032596658028,-0.00132963561292618,-0.00124455697435386,-0.00118374387594386,-0.00276562679781717,-0.00266934379943413,-0.00220229968859858,-0.00203002129819149,-0.00189865890328236,-0.00163582092808189,-0.000142281843192365,-0.00175889729357546
"Blue.Grosbeak",-0.00115733029419544,-0.00199419176972844,-0.00150741799992567,-0.00219302295326671,-0.0019503684056806,-0.00140025055673035,-0.00204688669870398,-0.00109300256661911,-0.000703804177743797,-0.00157067507206438,-0.00172531813491724,-0.00126643857279226,-0.000663909495199238,-0.0016215232076202,-0.00153982258683349,-0.00156345464488564,-0.00195464338524174,-0.00161959529396037,-0.0124179911635072,-0.00133065944412551,-0.00177534797540992,1,0.0056417958174593,-0.0014165773197363,-0.0011250955794067,-0.00128295643155636,-0.00119109575670453,-0.00113571177617072,-0.000489634159903626,-0.00106399825106602,-0.001054009786188,-0.00104628218508105,-0.00100757283676354,-0.000960962653168871,-0.00100582858255255,-0.000941469200471722,-0.000895465955688154,-0.00209211189507478,-0.00201927675825531,-0.00166597220516992,-0.00153564888384564,-0.00143627725887744,-0.00123744838766878,-0.000107631852869976,-0.00225487685123632
