"","Yellow.rumped.Warbler","Herring.Gull","Ring.billed.Gull","Common.Grackle","Rusty.Blackbird","Chipping.Sparrow","Red.headed.Woodpecker","Bonaparte.s.Gull","Bufflehead","Hermit.Thrush","Hairy.Woodpecker","Brown.Thrasher","White.breasted.Nuthatch","Brown.headed.Nuthatch","Yellow.bellied.Sapsucker","Fox.Sparrow","Swamp.Sparrow","American.Pipit","gull.sp.","Ring.necked.Duck","American.Coot","Pacific.Winter.Wren","Northern.Cardinal","Northern.Mockingbird","Brown.Creeper","Song.Sparrow","White.throated.Sparrow","Dark.eyed.Junco..Slate.colored.","Blue.Jay","American.Goldfinch","Northern.Flicker..Yellow.shafted.","American.Robin","Cedar.Waxwing","Yellow.rumped.Warbler..Myrtle.","Hooded.Merganser","Pied.billed.Grebe","Eastern.Towhee","Eastern.Phoebe","Downy.Woodpecker","Red.bellied.Woodpecker","Carolina.Wren","Tufted.Titmouse","Eastern.Bluebird","American.Crow","Carolina.Chickadee","Great.Blue.Heron..Blue.form.","House.Finch","Rock.Pigeon..Feral.Pigeon.","Pine.Warbler","Golden.crowned.Kinglet","Ruby.crowned.Kinglet","Pine.Siskin","American.Black.Duck","Spinus.sp...goldfinch.sp..","European.Starling","blackbird.sp.","Northern.Bobwhite","Evening.Grosbeak","Purple.Finch","Spotted.Eastern.Towhee..Rufous.sided.Towhee.","Brown.headed.Cowbird","Red.winged.Blackbird","Eastern.Meadowlark","Savannah.Sparrow","Field.Sparrow","House.Sparrow","Mourning.Dove"
"Yellow.rumped.Warbler",1,0.423790416425652,0.50204647794317,0.186062108809699,0.193245658607834,0.609948579015828,0.556794070059016,0.470569387508534,0.399592317156845,0.41206145406471,0.361037881063397,0.529278003787908,0.497338669638383,0.583434383824994,0.541303988595951,0.261911274074088,0.236074536086229,0.106326464305821,-0.0749015178392938,0.0183546918508846,0.0870359519599349,-0.0607905829911516,0.317399954746931,0.237049486367129,0.346516752620288,0.265031085391659,0.297978701580336,0.0731799671365264,0.321394231573666,0.0973353027658017,0.207085966928688,0.328969802869617,0.270373298831595,0.132893844292025,0.210131888324262,0.475308775760431,0.38615768834739,0.463892431504879,0.48870259101733,0.515756933508074,0.487386481008999,0.502934605548632,0.399352752939898,0.388674598306211,0.367724904110371,0.180485333444219,0.194897217437173,0.0273497875932226,0.137098018631736,0.159566234375744,0.236415058587403,-0.0266794183732427,-0.120351060549568,-0.0563303297362345,-0.0781741967601596,-0.0218234472251082,-0.111903609417747,-0.112264520988097,-0.0867326201577358,-0.0324076757249957,0.0915390131340932,0.237339021846554,-0.0706210761721782,0.149795317202512,0.00434417052336915,-0.0319822280388214,0.0564522070759794
"Herring.Gull",0.423790416425652,1,0.743922969041436,0.143257761539827,0.178398996425916,0.656280477887764,0.478425249844152,0.469064459915859,0.351197114583986,0.388548730718829,0.33394329363388,0.502738034131032,0.536870355145495,0.633116868810887,0.488597485690399,0.241365901682061,0.29266246005305,0.307912806656809,0.0127494946751652,0.145084253338717,0.209935187877368,-0.0103387336571396,0.376226873885801,0.260711467918875,0.32218068071739,0.322843418359257,0.231678404647747,0.0886415564894915,0.234018935541704,0.282968427546204,0.238311235939613,0.286578419420189,0.17840863051291,0.281789660267599,0.390697917854973,0.508724826884966,0.558312693974704,0.509530613364356,0.469783028968444,0.510173313587007,0.525572649569962,0.61972941490717,0.525471493738905,0.55873167302977,0.527660699694978,0.37599792329606,0.357674502400742,0.12546294034209,0.242094752698578,0.306861713675862,0.293375791900425,0.248926177157202,-0.113578491647037,-0.0620860910069413,-0.0871972257035505,-0.0335966681059409,-0.244034430110852,-0.129567220970951,-0.179952613624348,-0.197616022828806,-0.0787104372356272,0.056099155914394,-0.166356566502335,0.160851082594181,0.0101389251210298,-0.127201266423476,0.0195295951539627
"Ring.billed.Gull",0.50204647794317,0.743922969041436,1,0.328251288244269,0.275060290921529,0.778811401362926,0.689973334699797,0.577294810061683,0.517541739152846,0.584472211728122,0.476092522566237,0.682836416391205,0.658193434755763,0.756433961439374,0.657093261057908,0.412648105371629,0.379499778823958,0.206250873898851,-0.00321117413366764,0.101529377797176,0.270334637980806,0.0445631187244525,0.469952610971528,0.316493749182089,0.420470575143331,0.380816423524455,0.314657703744174,0.157794609422405,0.324248674923271,0.40004583475383,0.34026680745881,0.392673171981546,0.277150949402883,0.337992866391573,0.509547010436884,0.569185587073204,0.694273445844127,0.658306148138335,0.620742460957216,0.670207896364019,0.648970116888334,0.731405146454551,0.627939410695863,0.691592717088964,0.574241870363654,0.397286117531873,0.45048470964355,0.186783960846552,0.353226391054328,0.426763745126019,0.363239351187618,0.362446720179713,-0.0931834242454894,-0.0799609829675767,-0.114578045279379,-0.0529325386873464,-0.311463860713856,-0.180810805490252,-0.210684148279212,-0.246802609898699,-0.0681473987281448,0.0732510251795251,-0.235806347566287,0.140506705422732,-0.0295295170599049,-0.20126910674295,-0.0135166058061959
"Common.Grackle",0.186062108809699,0.143257761539827,0.328251288244269,1,0.450672544352072,0.243792420066642,0.416292915619616,0.35374079045119,0.38557796035852,0.279615873309499,0.282381009313071,0.395261370049221,0.288027636974039,0.350415539876903,0.418275099939177,0.290631805464838,0.290049406784041,0.223320511042755,-0.0153538832486078,-0.0268522109477461,0.361754617733475,0.0583786386869292,0.346500004034981,0.330807198143866,0.320308233033461,0.324905715113695,0.375712298732959,0.287376430471402,0.3529224515735,0.335595308197327,0.343791996277691,0.248404245530136,0.246301441631742,0.202430422364007,0.275336072802916,0.395121391268973,0.331796796421046,0.312139737603136,0.383766477255533,0.432240217139258,0.371447353452578,0.341700141755504,0.42101139250647,0.392831890429952,0.324192515715105,0.282432708206572,0.313366539077399,0.207842820040382,0.267827635894435,0.222731597541387,0.263252873173765,0.101421514493695,-0.0889790161594358,-0.0721097043164951,0.178949887075383,0.0553341404698476,-0.0650761368421472,0.112495729675987,0.128389825720877,0.0372511169255481,0.0534299152387055,0.230660604093833,0.0314815122924066,0.176214353770906,0.125394952195783,0.0801452666173873,0.331043322773489
"Rusty.Blackbird",0.193245658607834,0.178398996425916,0.275060290921529,0.450672544352072,1,0.242053873104907,0.310781136880069,0.413466932753933,0.310619529129274,0.303039339992456,0.352576813138132,0.330881178806601,0.329590173906317,0.384091926645791,0.446016534840442,0.426393059531971,0.279906849013296,0.215270564511763,0.0615443674572376,-0.0529550087287815,0.269411926819082,0.178604556882692,0.284741112880321,0.308522514695881,0.344647074577693,0.309699443380033,0.293391462100011,0.209168240084955,0.236454345933304,0.24251204681927,0.315411440420924,0.238083430373765,0.204305444525033,0.208829666355288,0.269063040052465,0.363946232047315,0.23771742275559,0.29158978986103,0.350106339874312,0.367207378415951,0.342345833315589,0.338802648920029,0.351571287193213,0.344470198678923,0.288094448941844,0.220893736953666,0.224430098179808,0.0878207580617345,0.125051063023911,0.215127748352368,0.194909124556054,0.33665523113795,-0.0730379864674787,-0.0356749511176829,0.104683953380126,0.0975206507018002,0.0385037071034022,0.120924804417242,0.10401269718469,0.115639389193358,0.108175032462966,0.106943437906565,0.0119603598793188,0.124124060675501,0.118960426449727,0.0200191579710425,0.143790998326628
"Chipping.Sparrow",0.609948579015828,0.656280477887764,0.778811401362926,0.243792420066642,0.242053873104907,1,0.796807223751429,0.688439469486972,0.667586039911957,0.627895535404395,0.610559203289283,0.788613341148416,0.803841400632576,0.867841211155099,0.784766860257165,0.40981230197236,0.484734638126497,0.255254945849468,-0.031835021467843,0.156229870191957,0.179843674938701,0.034809820900155,0.553541237643791,0.329959727809448,0.506662702830254,0.461722604743202,0.369596513438926,0.129660293664964,0.401251420622847,0.415901343864575,0.409502364660728,0.519161973487184,0.373501713213099,0.326746702992993,0.454617673709048,0.584007078085164,0.74004953701503,0.755988790046188,0.760404045443109,0.787760933070755,0.784770496403396,0.82689717968593,0.691326279402479,0.696567595457501,0.6584130848549,0.435740601449745,0.434401685855298,0.161950691492686,0.420876666919412,0.431146413353347,0.505429168857653,0.322987395953096,-0.161849537120771,-0.0905705061435228,-0.127576540635035,-0.0383010185310291,-0.312620450443668,-0.175756834256807,-0.197831127077881,-0.214221222063588,-0.046800660672914,0.151368812170085,-0.238333397162358,0.100404860999082,-0.00679693243489508,-0.192296568898245,0.0202493582291708
"Red.headed.Woodpecker",0.556794070059016,0.478425249844152,0.689973334699797,0.416292915619616,0.310781136880069,0.796807223751429,1,0.680719085169438,0.731941202271339,0.662908050797958,0.651429281475679,0.761623836541607,0.777622169639763,0.813425063361608,0.789082919788455,0.454023858903857,0.506421281273626,0.177486333201862,-0.0170640393240928,0.220743070272477,0.2996605865486,0.160049217142249,0.531292128979943,0.376357322207533,0.526915806706317,0.493854326682541,0.403185164594265,0.202554777295526,0.476031788615993,0.418447456609942,0.43979577431606,0.473695499239256,0.347574820477862,0.334728273535604,0.530128544251875,0.602410526908305,0.772272922961464,0.723209542106288,0.779404447261266,0.799492174171327,0.713767817708671,0.77467233226173,0.701320561009696,0.68995663165141,0.645012205314105,0.474674738393754,0.500832667580785,0.289599378788856,0.494727549076934,0.483081069598551,0.532634817867375,0.234565724803906,-0.0560124293957047,-0.0769544622278625,-0.0782508605299381,-0.026843078467022,-0.273759337881596,-0.171698146517161,-0.174295272456162,-0.214589923194352,-0.0861181251784924,0.123273626737769,-0.190272235121476,0.119177858253508,0.0139055236442365,-0.142947344213434,0.0633713096766407
"Bonaparte.s.Gull",0.470569387508534,0.469064459915859,0.577294810061683,0.35374079045119,0.413466932753933,0.688439469486972,0.680719085169438,1,0.763986583633267,0.685431610452324,0.547241152486188,0.656113235309344,0.686923337766982,0.759980174242291,0.73188492749952,0.390740485082523,0.491741443507756,0.171278006805385,0.249703325758313,0.289683446924481,0.142832738051224,0.16763659283718,0.459788718075072,0.30806938027409,0.448356680656625,0.481116152094421,0.364074027096308,0.203753098829263,0.33407313445297,0.416130751708168,0.41909455944287,0.456924195933958,0.429937263554214,0.375463241339901,0.582190664430938,0.620026981450471,0.73637543147887,0.789864116420368,0.707706498809307,0.682442279233924,0.698129744555115,0.728587005845837,0.68594475794695,0.650733228825619,0.612489649292222,0.600732943848167,0.594576626311399,0.385721113232269,0.499861528269079,0.457275227073884,0.56502455875569,0.114833454809785,-0.14887239638358,-0.09149938393614,-0.100009785597373,-0.0361548494065533,-0.32985232153783,-0.114078043728042,-0.238586901799214,-0.285105662610892,-0.0764737629091879,0.12223735488354,-0.214837376880913,0.0624131073334258,-0.0138664540400322,-0.16330161060973,0.0710015843285559
"Bufflehead",0.399592317156845,0.351197114583986,0.517541739152846,0.38557796035852,0.310619529129274,0.667586039911957,0.731941202271339,0.763986583633267,1,0.773104468998766,0.582104599829166,0.650566757919886,0.667720762932565,0.714818856980276,0.703226153427905,0.48826107659721,0.508314841443975,0.196362490849526,0.1077939609667,0.324670234309797,0.269509467350037,0.263059952454048,0.501470584749446,0.293892628374757,0.507144927534711,0.541520679012812,0.394640412004204,0.305158163855428,0.422223572282195,0.405515869137834,0.436353067349974,0.49765368956078,0.363272451665771,0.400851278275118,0.633846928431012,0.618608207087322,0.781492078139574,0.732368239338334,0.7276034199282,0.667863929012949,0.733814502419637,0.715103407083166,0.678458804731203,0.628997330005495,0.644874393660014,0.574405339656325,0.624394623681225,0.412183984125251,0.550707427522363,0.585230367102537,0.641240929414373,0.108837989508169,0.173034670160335,0.206304176744335,-0.110305246996629,-0.0561035221694387,-0.225206430786339,-0.180396374249693,-0.291789895722715,-0.346477496077065,-0.116530827342521,0.0993232533909324,-0.261453417343258,0.0143309884173897,0.0162588177877907,-0.111570077652899,0.0680412744469663
"Hermit.Thrush",0.41206145406471,0.388548730718829,0.584472211728122,0.279615873309499,0.303039339992456,0.627895535404395,0.662908050797958,0.685431610452324,0.773104468998766,1,0.679043442471875,0.679365007701301,0.719689772768149,0.759668120494596,0.770754811894795,0.62460987349024,0.756841939735886,0.301248223184497,0.172960085008856,0.283426619386654,0.272840630101446,0.429117544451616,0.607731724258871,0.502200938628364,0.681930192946371,0.689837263932711,0.593436938138505,0.496570905027094,0.477937525418181,0.546350968516727,0.574055218473668,0.56783122413994,0.528413455043462,0.573978059130131,0.641113463598154,0.679184634342818,0.730064193774177,0.773876045407469,0.798716554980452,0.731016509482941,0.789099148550832,0.792700058321059,0.737447149936482,0.722386247481428,0.743161056837927,0.585152016034743,0.60181403547468,0.505677252827083,0.578634525513861,0.612166310944882,0.642634802643579,0.163670911623917,0.204740046603717,0.212208716048415,-0.00546229187175488,-0.0233079587659877,-0.1114891923184,-0.0623595576098707,-0.133655488863501,-0.180743308275777,-0.0289932084834713,0.224449560306186,-0.0684994502648955,0.25630354859226,0.202473811809297,0.116714956332973,0.23625717623585
"Hairy.Woodpecker",0.361037881063397,0.33394329363388,0.476092522566237,0.282381009313071,0.352576813138132,0.610559203289283,0.651429281475679,0.547241152486188,0.582104599829166,0.679043442471875,1,0.777066628241021,0.855583441582667,0.802627044281905,0.841033986291047,0.665649945323703,0.672605604844992,0.252952444771219,0.1268392794743,0.243340031326957,0.272942734394128,0.386387989611316,0.814495856741347,0.710516655187977,0.769848977220513,0.694378531672411,0.7118941103456,0.538777954816978,0.608740807840809,0.621421637166426,0.684674466151121,0.585070862730073,0.517413860684418,0.562467968136375,0.498934407744067,0.579596023030818,0.614518216278703,0.719900057877986,0.872815065849562,0.842010728179754,0.784755341702949,0.789719780976593,0.744885101443342,0.744735285523913,0.784311573606814,0.537404936869733,0.51735504654286,0.400573559899539,0.522020625639763,0.604652330992686,0.614051208181187,0.236459693715964,-0.0492015234640942,-0.0291699885296482,0.187179908016584,0.0673930627702275,0.167111285315156,0.191893944500956,0.230449429147,0.183009502670726,0.159275121278868,0.297277613067952,0.154721915805039,0.291404126804463,0.391963836490701,0.175788664297072,0.370143845376104
"Brown.Thrasher",0.529278003787908,0.502738034131032,0.682836416391205,0.395261370049221,0.330881178806601,0.788613341148416,0.761623836541607,0.656113235309344,0.650566757919886,0.679365007701301,0.777066628241021,1,0.864899783155823,0.869296855200227,0.87630934700119,0.580478170210181,0.654217570324258,0.260814482611936,0.0624082621917942,0.174937258306135,0.304718043624325,0.318430488847154,0.822450443643884,0.702733618459769,0.72598227687908,0.676419180113812,0.699910491308755,0.518777580657254,0.689619399861502,0.633507368117724,0.67511318076446,0.5610219595788,0.496978210320718,0.496649899891088,0.551798408910341,0.695769793748878,0.745178331918855,0.783291850359738,0.881782632414939,0.898980920563449,0.860500255451402,0.879128887774301,0.802065346986849,0.804021749875406,0.816941312974703,0.516297331203425,0.565613362831853,0.383905688348931,0.493594070503898,0.644471330694774,0.643333405835363,0.296377690223236,-0.192550163616576,-0.144156952594671,0.17454570531363,0.107298498668206,-0.0537354584210513,0.119576432639777,0.0422736504497921,0.145507165365333,0.149673061908217,0.258561494571451,0.0678583045293367,0.348400832043689,0.305733111848275,0.135334572262017,0.358647763346776
"White.breasted.Nuthatch",0.497338669638383,0.536870355145495,0.658193434755763,0.288027636974039,0.329590173906317,0.803841400632576,0.777622169639763,0.686923337766982,0.667720762932565,0.719689772768149,0.855583441582667,0.864899783155823,1,0.914352618969733,0.894272827066106,0.6397948214789,0.612381459459928,0.255694324918307,0.0177659569142594,0.265162692033554,0.264303868007444,0.346249075922899,0.773712138059702,0.600455537139693,0.713077128521946,0.634365494637003,0.597816299852273,0.408218665641766,0.506293278425248,0.551814210851715,0.592572385342143,0.516817744160044,0.442834314873136,0.518315970034759,0.583916725231512,0.660413767690831,0.74045978438419,0.786022600535062,0.890849512762474,0.869989565891785,0.839943724390939,0.891388405958372,0.769269275158564,0.773638984675719,0.797459986181931,0.532711187445483,0.479382478423548,0.333467379171994,0.529238081816178,0.570444761387538,0.61545596377913,0.255473120925051,-0.0665881937029708,-0.02199615944104,0.0378523834011363,-0.0382150281213729,-0.0126768285137644,0.0432815024490959,0.0617402626451648,-0.0122923839777217,0.0219130756390072,0.151307090171486,-0.0730148993718452,0.189596083433425,0.205581023021544,0.00606185052147468,0.173815253942118
"Brown.headed.Nuthatch",0.583434383824994,0.633116868810887,0.756433961439374,0.350415539876903,0.384091926645791,0.867841211155099,0.813425063361608,0.759980174242291,0.714818856980276,0.759668120494596,0.802627044281905,0.869296855200227,0.914352618969733,1,0.915460898077021,0.626647596491588,0.636062730274005,0.301618161464367,0.035462127959223,0.267029292128873,0.34176848029709,0.344998713299213,0.736240654043284,0.569353326999773,0.662553521393036,0.661828788666967,0.583753856854922,0.376482657756973,0.549321427446798,0.593604416950366,0.596748049695453,0.583293853531219,0.474215926585799,0.522606590330376,0.611101194528299,0.692084941054899,0.825290195638488,0.845258223699688,0.905212695449431,0.916913821995149,0.898009905560164,0.922527848357163,0.843661460748913,0.835915488090419,0.825367518036905,0.58443625975426,0.605468283831776,0.393098097068917,0.559329719516611,0.630774562604555,0.655651263426787,0.301977101380663,-0.131840661152574,-0.0943809946086153,0.0113531180572302,-0.00575391421203936,-0.177189239324894,0.0023027867519711,-0.0611208354455134,-0.0696443383297406,0.060584262862391,0.201030209043126,-0.12551554253506,0.212302784377154,0.189471543447655,-0.0536455162470248,0.177318027282328
"Yellow.bellied.Sapsucker",0.541303988595951,0.488597485690399,0.657093261057908,0.418275099939177,0.446016534840442,0.784766860257165,0.789082919788455,0.73188492749952,0.703226153427905,0.770754811894795,0.841033986291047,0.87630934700119,0.894272827066106,0.915460898077021,1,0.648882861733787,0.687501263737183,0.32139097673287,0.0793589980083197,0.213943102901846,0.308953346397504,0.397244664840378,0.777436657939247,0.659381749702824,0.743973525899635,0.692924252445186,0.686120827748963,0.473853058530699,0.624410897809111,0.635349883921223,0.68203361248841,0.666159704572209,0.592058089410053,0.616749687485672,0.630540393709869,0.733138417083472,0.760711128116427,0.844647129340483,0.917956993591915,0.930701949704974,0.884359776843074,0.904133876248505,0.838644511303683,0.843961946031694,0.830573267222779,0.596948424951764,0.589935390453008,0.44952165112365,0.569566537244906,0.630065132730232,0.705162287979354,0.257767641228676,-0.206004068132313,-0.142282493527962,0.156711058795059,0.0873354987495441,-0.0880058145875557,0.0882557282072544,0.0679289814719681,0.0575144206630223,0.0739296202081833,0.256402084666587,-0.00563252193895253,0.254785021496461,0.280092055234705,0.0716389647133504,0.289943026322435
"Fox.Sparrow",0.261911274074088,0.241365901682061,0.412648105371629,0.290631805464838,0.426393059531971,0.40981230197236,0.454023858903857,0.390740485082523,0.48826107659721,0.62460987349024,0.665649945323703,0.580478170210181,0.6397948214789,0.626647596491588,0.648882861733787,1,0.623037543526029,0.290231485304638,0.171079453587436,0.227951425706524,0.363525124173074,0.474543113411584,0.650708270335858,0.501322714875375,0.556092200396545,0.648902960851152,0.58512265378985,0.541799888907538,0.432014511322469,0.444939405582054,0.45284744345005,0.376549820764189,0.347914676985187,0.445467421085675,0.57396086985502,0.466031423224252,0.480265103983045,0.486465044213443,0.617053396253547,0.601156930409241,0.601254386646121,0.608118197024933,0.499318884184479,0.531550237177874,0.564712631088781,0.396444274560548,0.358670052605784,0.265780787853307,0.373118990260332,0.468067380373216,0.438619780529151,0.200081773785352,0.232018108253415,0.201751235253567,0.180708011601615,-0.0070550292224347,0.18375835706965,0.088920304569873,0.142924635506498,0.117538463105411,0.082390745338079,0.0998689335813617,-0.0281999442667969,0.215852251574334,0.348734323662404,0.107603868393777,0.19883110282284
"Swamp.Sparrow",0.236074536086229,0.29266246005305,0.379499778823958,0.290049406784041,0.279906849013296,0.484734638126497,0.506421281273626,0.491741443507756,0.508314841443975,0.756841939735886,0.672605604844992,0.654217570324258,0.612381459459928,0.636062730274005,0.687501263737183,0.623037543526029,1,0.338989003973445,0.281648733753913,0.198358039221547,0.232471417931841,0.545642738004688,0.666125770841787,0.645300540960017,0.688650103885025,0.815668485857117,0.744946127999262,0.604630845472429,0.657531262721536,0.701263538384978,0.669733804456893,0.620500203179774,0.577403210379147,0.664906379543031,0.58287753257884,0.631169410434811,0.576811867679693,0.679447505864871,0.757992621639182,0.738326388998408,0.738416202635098,0.723037952237358,0.687952457149647,0.721557208801267,0.761096810371203,0.580903249995022,0.530922956641925,0.57499268221504,0.528599545304508,0.610718537041351,0.631526349172961,0.224923672085406,0.0191405701548786,0.0279709578548929,0.15492904521981,0.0747087457307094,-0.0239180120746764,0.20075065646114,0.106545912462452,0.149424844670448,0.201625908284724,0.362346035743353,0.113505078146215,0.50102277788226,0.48425788932743,0.300032522970953,0.473431029815789
"American.Pipit",0.106326464305821,0.307912806656809,0.206250873898851,0.223320511042755,0.215270564511763,0.255254945849468,0.177486333201862,0.171278006805385,0.196362490849526,0.301248223184497,0.252952444771219,0.260814482611936,0.255694324918307,0.301618161464367,0.32139097673287,0.290231485304638,0.338989003973445,1,0.218887460952604,0.0442679516781783,0.295008623538174,0.141702262637383,0.297599768047957,0.329155297284715,0.209203432465439,0.299158318924274,0.268198124789441,0.26110949523788,0.230425266376407,0.38043684220004,0.358023623777492,0.279009589205891,0.334853578607228,0.494805119966378,0.291137407369132,0.372959920318375,0.256487809292229,0.347895584733673,0.297853435080792,0.321713476908497,0.383702812102317,0.35340490076167,0.390709945007492,0.379906512297498,0.386682968242889,0.465565909637479,0.220985752822084,0.212239084941343,0.350053924141937,0.258195855191403,0.361184098940822,0.108720364650084,0.00318650504177204,0.0872334332963425,0.188964390423256,-0.0147205010807499,0.00139682637599627,-0.0580294136694769,-0.0260320300379809,0.028876271502446,0.103677637061064,0.219464525814031,0.096368922739664,0.26290473499029,0.183205347644181,0.214468695632852,0.183894996601892
"gull.sp.",-0.0749015178392938,0.0127494946751652,-0.00321117413366764,-0.0153538832486078,0.0615443674572376,-0.031835021467843,-0.0170640393240928,0.249703325758313,0.1077939609667,0.172960085008856,0.1268392794743,0.0624082621917942,0.0177659569142594,0.035462127959223,0.0793589980083197,0.171079453587436,0.281648733753913,0.218887460952604,1,0.0407351556487672,-0.0356293290180573,0.133547262173331,0.165506507201519,0.21725649667967,0.0604559158325619,0.219071105033646,0.191808349888976,0.327683391063655,0.152674099347197,0.201126777460003,0.238792142059376,0.139781105020276,0.212321848111905,0.190024053432163,0.376508383186485,0.122303327266614,0.203268749638016,0.243964205624219,0.115497744393264,0.106159358463527,0.180898946600455,0.138505965180614,0.203369820028672,0.216117411654331,0.21288072447288,0.484777815532542,0.379421200331076,0.434075628920501,0.202815901027899,0.248461459722045,0.215399508360409,-0.0471167099322348,-0.00914801027269099,-0.0372570264245367,0.0353064041629581,-0.0280120739569088,-0.064207480135453,0.0372281267276097,-0.0543460568486188,-0.114253184894322,-0.0487205323793817,0.0550165773407513,0.0944576216172916,0.0519665256860239,0.150179391033852,0.0999637839992462,0.265552018797676
"Ring.necked.Duck",0.0183546918508846,0.145084253338717,0.101529377797176,-0.0268522109477461,-0.0529550087287815,0.156229870191957,0.220743070272477,0.289683446924481,0.324670234309797,0.283426619386654,0.243340031326957,0.174937258306135,0.265162692033554,0.267029292128873,0.213943102901846,0.227951425706524,0.198358039221547,0.0442679516781783,0.0407351556487672,1,0.215716330534102,0.2745186550978,0.166111827940946,0.14596369275224,0.207743254103701,0.230717965684114,0.122940441076283,0.158842141119944,0.111621172273388,0.239201092169607,0.173736015729139,0.197236967021134,0.230525634154076,0.315369581578837,0.393603898317596,0.193780062148956,0.329964840499929,0.308965702337137,0.273693388848999,0.244056631894448,0.283306738161961,0.289695046859118,0.255620563576821,0.219478652013424,0.308950709259122,0.26971097563347,0.339539387659281,0.255191297608002,0.438554159597568,0.359724758270301,0.408282742301899,0.00341356765118806,0.214481500418892,0.0692471868967161,-0.0780688158014012,0.0263646825378084,-0.105342447576382,-0.0183821422607507,-0.0926708502447525,-0.185149554210544,-0.103346486273279,0.00644795255753151,-0.0245476657323146,-0.0365347346092006,0.0420990512721107,-0.0319329809278953,-0.0302610144253896
"American.Coot",0.0870359519599349,0.209935187877368,0.270334637980806,0.361754617733475,0.269411926819082,0.179843674938701,0.2996605865486,0.142832738051224,0.269509467350037,0.272840630101446,0.272942734394128,0.304718043624325,0.264303868007444,0.34176848029709,0.308953346397504,0.363525124173074,0.232471417931841,0.295008623538174,-0.0356293290180573,0.215716330534102,1,0.388671829021088,0.331041139673065,0.362040821503423,0.24180840895117,0.306368259252311,0.247685680893665,0.302961353408767,0.246537346627604,0.438448783940624,0.359931420144254,0.238756329846003,0.307777907385268,0.314154335468615,0.407193054342144,0.537450557358334,0.363850980864015,0.273281653003359,0.366013302648854,0.351941243025923,0.375096558485352,0.399617291390649,0.415440350044883,0.418417155092789,0.418395085677297,0.339041677973693,0.32876174270026,0.279561031854654,0.237447956542636,0.339991129945191,0.287597399991114,0.188484133413929,-0.014104131754879,-0.0335368080834653,-0.0308916923374364,0.0452431984826741,-0.13117446692311,-0.0218254056195508,-0.0900347190790253,-0.0514469548538211,-0.0427425293468941,0.0691395666897082,-0.0169405655542104,0.198587980230674,0.102610080029666,0.0715478704380611,0.106418775558123
